"Sr. No.","hospitalname","Category","Health Care Provider Type","address First Line","state","district","subdristrict","pincode","telephone","totalnumofbeds","mobilenumber","website","googlemapcorridinate_lati","googlemapcorridinate_longi","facilities","ayush"
"126","Delhi Government Allopathic Dispensary, Prashant Vihar","Public/ Government","Dispensary","B-Block, Prashant Vihar, Near Agarwal Dharmshala","Delhi","North West Delhi","NA","110085","011 27562092","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"127","Delhi Government Allopathic Dispensary, Rohini Court","Public/ Government","Dispensary","Rohini Court Complex","Delhi","North West Delhi","NA","NA","011 27552550","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"128","Delhi Government Allopathic Dispensary, Sector-8, Rohini","Public/ Government","Dispensary","C-8, Near Church, Rohini","Delhi","North West Delhi","NA","110085","011 27940061","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"129","Delhi Government Allopathic Dispensary, Pitampura","Public/ Government","Dispensary","CD Block, Vishaka Enclave","Delhi","North West Delhi","NA","110034","011 27324895","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"130","Delhi Government Allopathic Dispensary, Shalimar Bagh BB-Block","Public/ Government","Dispensary","BB Block, Shalimar Bagh, LIGFlats","Delhi","North West Delhi","NA","110052","011 27486246","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"131","Delhi Government Allopathic Dispensary, Shalimar Bagh AC- Block","Public/ Government","Dispensary","AC-1, Shalimar Bagh","Delhi","North West Delhi","NA","110088","011 27487505","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"132","Delhi Government Allopathic Dispensary, Saraswati Vihar","Public/ Government","Dispensary","C-Block, Saraswati Vihar","Delhi","North West Delhi","NA","110034","011 27023849","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"133","Delhi Government Allopathic Dispensary, Shakurpur","Public/ Government","Dispensary","Block-I, DDA Resettlement Colony","Delhi","North West Delhi","NA","110034","011 27187380","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"134","Delhi Government Allopathic Dispensary, Wazirpur J.J.Colony","Public/ Government","Dispensary","K Block, Wazirpur, J.J. Colony","Delhi","North West Delhi","NA","NA","011 27306145","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"135","Delhi Government Allopathic Dispensary, Wazirpur, Phase- III","Public/ Government","Dispensary","Wazirpur, Ph-III, Sawan Park, Near Post Office","Delhi","North West Delhi","NA","NA","011 27117026","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"136","Delhi Government Allopathic Dispensary, Keshavpuram B-4 Block","Public/ Government","Dispensary","B- 4, Keshavpuram, Near Tyagi Public School","Delhi","North West Delhi","NA","110052","011 27192215","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"137","Delhi Government Allopathic Dispensary, Keshavpuram C-7 Block","Public/ Government","Dispensary","C- 7, Keshavpuram, Near Gurudwara","Delhi","North West Delhi","NA","110035","011 27188270","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"138","Delhi Government Allopathic Dispensary, Ashok Vihar, H-Block","Public/ Government","Dispensary","H Block, (Near Mont Fort School) Phase-1, Ashok Vihar","Delhi","North West Delhi","NA","110052","011 27224165","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"139","Delhi Government Allopathic Dispensary, Wazirpur Industrial Area","Public/ Government","Dispensary","B Block, Wazirpur Ind. Area, Delhi(12 hours Double Shift)","Delhi","North West Delhi","NA","NA","011 27373814","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"140","Delhi Government Allopathic Dispensary, Sangam Park","Public/ Government","Dispensary","Sangam Park, Near Rana Pratap Bagh","Delhi","North West Delhi","NA","110007","011 27134663","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"141","Delhi Government Allopathic Dispensary, Jai Dev Park","Public/ Government","Dispensary","44 A, Madan Park, Jai Dev Park","Delhi","North West Delhi","NA","NA","011 28313111","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"142","Delhi Government Allopathic Dispensary, Begumpur","Public/ Government","Dispensary","Begumpur Village, NearMalviya Nagar","Delhi","North West Delhi","NA","110017","011 26693943","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"143","Delhi Government Allopathic Dispensary, Saket","Public/ Government","Dispensary","Near PVR Complex Saket","Delhi","North West Delhi","NA","110017","011 26521099","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"144","Delhi Government Allopathic Dispensary, Ber Sarai","Public/ Government","Dispensary","Opposite Main Gate, Old JNUCampus","Delhi","North West Delhi","NA","110018","011 26526942","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"145","Seed PUHC, Neb Sarai","Public/ Government","Dispensary","H. No. 477, Neb Sarai","Delhi","North West Delhi","NA","110068","011 29531957","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"146","Delhi Government Allopathic Dispensary, Chatterpur","Public/ Government","Dispensary","Chatterpur Village","Delhi","North West Delhi","NA","110030","011 26801602","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"147","Delhi Government Allopathic Dispensary, Jonapur","Public/ Government","Dispensary","Jonapur Village (MPCC)","Delhi","North West Delhi","NA","110047","011 26658444","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"148","Seed PUHC, Aya Nagar","Public/ Government","Dispensary","H. No. 32, Ghoda Mohalla, Behind Higher SecondarySchool, Aya Nagar","Delhi","North West Delhi","NA","110047","011 26501042","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"149","Seed PUHC, Sangam Vihar","Public/ Government","Dispensary","1010/23, L-2 Block, Near Shiv Shakti Mandir, Shani Bazar Road, Sangam Vihar","Delhi","North West Delhi","NA","110062","011 29914597","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"150","Delhi Government Allopathic Dispensary, Sangam Vihar","Public/ Government","Dispensary","K - II/ 600 - B","Delhi","North West Delhi","NA","110062","011 26046306","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"151","Delhi Government Allopathic Dispensary, Khanpur","Public/ Government","Dispensary","JJ Colony, Sector 2, Dr.Ambedkar Nagar, Khanpur","Delhi","North West Delhi","NA","110062","011 29960981","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"152","Seed PUHC, Jawahar Park","Public/ Government","Dispensary","H. No. B-85, Deoli Road, Jawahar Park, Khanpur","Delhi","North West Delhi","NA","110062","011 29913539","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"153","Delhi Government Allopathic Dispensary, Dakshinpuri","Public/ Government","Dispensary","Dr. Ambedkar Nagar,Sector-5, Opposite Kali Building Government School,Main Road, Dakshinpuri(12 hours Double Shift)","Delhi","North West Delhi","NA","110062","011 29051383","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"154","Delhi Government Allopathic Dispensary, Madangir","Public/ Government","Dispensary","Block - J2, Secotor 4, Dr.Ambedkar Nagar, New Delhi - 1100623.JJ Colony, Madangir Phase- II","Delhi","North West Delhi","NA","110062","011 29961371","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"155","Delhi Government Allopathic Dispensary, Saket Court Complex","Public/ Government","Dispensary","In District Court Complex, Saket","Delhi","North West Delhi","NA","NA","011 29564800","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"156","Delhi Government Allopathic Dispensary, Chirag Delhi","Public/ Government","Dispensary","H. No. 828, Chirag Delhi","Delhi","North West Delhi","NA","110017","011 29252371","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"157","Delhi Government Allopathic Dispensary, Sarai Kale Khan","Public/ Government","Dispensary","69-76-A, Block 18-19, DDA Flats (Slum Qtrs) Sarai KaleKhan","Delhi","South East Delhi","NA","NA","011 24357045","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"158","Delhi Government Allopathic Dispensary, Sunlight Colony","Public/ Government","Dispensary","Behind Jeewan Nursing Home","Delhi","South East Delhi","NA","110014","011 26344956","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"159","Seed PUHC, Sangam ViharB-Block","Public/ Government","Dispensary","B/839, Sangam Vihar","Delhi","South East Delhi","NA","110062","NA","NA","09868281431","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"160","Delhi Government Allopathic Dispensary, Sangam Vihar","Public/ Government","Dispensary","D-1/36, Sangam Vihar","Delhi","South East Delhi","NA","110062","011 26046167","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"161","Seed PUHC, Tughlakabad Extn","Public/ Government","Dispensary","H.No. RZ-3066/34, Tughlakabad Extension (PUHC)","Delhi","South East Delhi","NA","NA","NA","NA","09810841945","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"162","Seed PUHC, Sangam Vihar Phase- II","Public/ Government","Dispensary","F-II/427, Sangam Vihar","Delhi","South East Delhi","NA","110062","011 26045870","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"163","Seed PUHC, Sangam Vihar","Public/ Government","Dispensary","D-5/7 New Delhi","Delhi","South East Delhi","NA","110062","NA","NA","09811171589","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"164","Seed PUHC, Sangam Vihar","Public/ Government","Dispensary","H-16/774","Delhi","South East Delhi","NA","110062","NA","NA","09868116223","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"165","Delhi Government Allopathic Dispensary, Kalkaji","Public/ Government","Dispensary","Q.No. 577-580 & 594-595,Kalkaji, Near Four Story DDA Flats, Kalkaji","Delhi","South East Delhi","NA","110019","011 26022864","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"166","Delhi Government Allopathic Dispensary, Sriniwaspuri Puri","Public/ Government","Dispensary","J-Block, Private Colony, Sri Niwaspuri","Delhi","South East Delhi","NA","110065","011 26839565","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"167","Delhi Government Allopathic Dispensary,Garhi","Public/ Government","Dispensary","Q . NO. 97-108, B Block,Slum Tenament, Garhi, East of Kailash","Delhi","South East Delhi","NA","110065","011 26413340","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"168","Seed PUHC, Pul Prahladpur","Public/ Government","Dispensary","H.No. HR- 126/6, Pul Prehladpur (PUHC)","Delhi","South East Delhi","NA","NA","011 26366307","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"169","Seed PUHC, Lal Quan","Public/ Government","Dispensary","E-2, Lal Quan","Delhi","South East Delhi","NA","110044","NA","NA","09811403710","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"170","Delhi Government Allopathic Dispensary, Molarband","Public/ Government","Dispensary","Multi-purpose Community Centre, Molarband,Meethapur Chowk (SCSP) (MPCC)","Delhi","South East Delhi","NA","NA","011 26663357","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"171","Seed PUHC Meethapur Extension","Public/ Government","Dispensary","A 118, Mata Wali gali Village Meethapur Extension","Delhi","South East Delhi","NA","110044","NA","NA","09811348501","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"172","Delhi Government Allopathic Dispensary, Tajpur","Public/ Government","Dispensary","Multi-Purpose CommunityCentre, Tajpur Pahari (MPCC)","Delhi","South East Delhi","NA","NA","011 24528461","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"173","Delhi Government Allopathic Dispensary, Batla House","Public/ Government","Dispensary","Near Jamia Millia Islamia University , Batla House, Okhla (12 Hours Double Shift)","Delhi","South East Delhi","NA","NA","011 26985691","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"174","Seed PUHC Jasola Village","Public/ Government","Dispensary","House No. 96, Jasola Village","Delhi","South East Delhi","NA","110044","NA","NA","09811961996","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"175","Delhi Government Allopathic Dispensary, Karkardooma","Public/ Government","Dispensary","Opposite Saini Enclave LSC, Karkardooma(12 Hours Double Shift)","Delhi","Shahdara","NA","110092","011 22371280","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"176","Delhi Government Allopathic Dispensary, Suraj Mal Vihar","Public/ Government","Dispensary","A- Block, Suraj Mal Vihar","Delhi","Shahdara","NA","110092","011 22373548","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"177","Delhi Government Allopathic Dispensary, Karkardooma Court Complex","Public/ Government","Dispensary","Karkardooma court","Delhi","Shahdara","NA","NA","011 22101394","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"178","Delhi Government Allopathic Dispensary, Kanti Nagar","Public/ Government","Dispensary","Health Centre cumMaternity Hospital Building, Kanti Nagar","Delhi","Shahdara","NA","110051","011 22090276","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"179","Delhi Government Allopathic Dispensary, Krishna Nagar","Public/ Government","Dispensary","B-6, East Azad Nagar (ground floor), Delhi","Delhi","Shahdara","NA","110051","011 22096784","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"180","Delhi Government Allopathic Dispensary, Bhola Nath Nagar","Public/ Government","Dispensary","298/1(part), Bhola Nath Nagar, Shahdara","Delhi","Shahdara","NA","110032","011 22307689","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"181","Delhi Government Allopathic Dispensary, Mukesh Nagar","Public/ Government","Dispensary","Community centre, Mukesh Nagar","Delhi","Shahdara","NA","110032","011 22302081","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"182","Delhi Government Allopathic Dispensary, Jhilmil","Public/ Government","Dispensary","Basti Vikas Kendra, B-Block, Jhilmil","Delhi","Shahdara","NA","110095","011 22144952","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"183","Delhi Government Allopathic Dispensary, Vivek Vihar","Public/ Government","Dispensary","B-1 B, Vivek Vihar, phase-I","Delhi","Shahdara","NA","110095","011 22151292","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"184","Delhi Government Allopathic Dispensary, Dilshad Garden","Public/ Government","Dispensary","A-13/G-1, DDA Flats,Dilshad Graden","Delhi","Shahdara","NA","110095","011 22585490","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"185","Delhi Government Allopathic Dispensary, Old Seemapuri","Public/ Government","Dispensary","E-Block, Behind main bus stand, Gole Chajkkar, OldSeemapuri","Delhi","Shahdara","NA","110095","011 22356287","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"186","Delhi Government Allopathic Dispensary, Nand Nagri","Public/ Government","Dispensary","A-2 Block, Nand Nagri","Delhi","Shahdara","NA","110093","011 22585690","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"187","Delhi Government Allopathic Dispensary, Nand Nagri Extension","Public/ Government","Dispensary","F-2 Block Sunder Nagri","Delhi","Shahdara","NA","110093","011 22582659","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"188","Delhi Government Allopathic Dispensary, New Seemapuri","Public/ Government","Dispensary","C-Block Behind SBI, New Seemapuri","Delhi","Shahdara","NA","110095","011 22355363","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"189","Delhi Government Allopathic Dispensary, Ashok Nagar","Public/ Government","Dispensary","D-542/1, Gali No. 9, Ashok Nagar","Delhi","Shahdara","NA","110032","011 22803436","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"190","Delhi Government Allopathic Dispensary, Durgapuri","Public/ Government","Dispensary","1449/221, Durgapuri","Delhi","Shahdara","NA","110093","1122125400","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"191","Delhi Government Allopathic Dispensary, Babarpur","Public/ Government","Dispensary","30/16 Inder Gali, Babarpur Extension, Shahdara","Delhi","Shahdara","NA","110032","011 22820453","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
